"Artikelnummer";"Lagerbestand Lager [Im Hasseldamm]";"Lagerbestand Lager [Reklamation]";"Anmerkung";
"21-4289-002";"74,00";"0,00";"214 | A | 1 Kartons | P4-F2-S3 | --";
"21-4290-001";"39,00";"0,00";;
"21-4290-002";"105,00";"0,00";;
"21-3305-005";"29,00";"0,00";;
"2862-003";"308,00";"0,00";"214 B | 1 Karton | P-F-S | MHD 12.2028";
"2862-004";"154,00";"0,00";"60 | MHD 01/26 | B | 1 Karton | P8-F2-S2 
214 B | 1 Karton | P-F-S | MHD 11.2028";
"2857-003";"235,00";"0,00";"
";
"21-4292-001";"630,00";"0,00";"214 B | 2 Kartons | P-F-S | MHD 10.2028";
"21-4292-002";"193,00";"0,00";;
"21-4299-001";"27,00";"0,00";;
"21-4300-001";"7,00";"0,00";;
"21-4301-001";"10,00";"0,00";"D1-F2";
"21-4302-001";"10,00";"0,00";;
"21-4303-001";"12,00";"0,00";;
"21-5993-001";"0,00";"0,00";;
"21-5993-002";"22,00";"0,00";;
"21-4308-001";"0,00";"0,00";"
";
"21-4314-001";"9,00";"0,00";;
"21-4314-002";"29,00";"0,00";;
"21-4314-003";"33,00";"0,00";"214 | A | 1 Kartons | P6-F4-S1 | --
 ";
"21-4315-001";"17,00";"0,00";;
"21-4315-002";"10,00";"0,00";;
"21-4316-001";"34,00";"0,00";;
"21-4316-002";"11,00";"0,00";;
"21-4330-001";"19,00";"0,00";;
"21-4330-002";"16,00";"0,00";;
"21-4331-001";"0,00";"0,00";;
"21-4331-002";"0,00";"0,00";;
"21-4332-001";"17,00";"0,00";;
"21-4332-002";"10,00";"0,00";;
"21-4333-001";"25,00";"0,00";;
"21-4333-002";"24,00";"0,00";;
"21-4334-001";"16,00";"0,00";;
"21-4334-002";"12,00";"0,00";;
"21-4335-001";"19,00";"0,00";;
"21-4335-002";"10,00";"0,00";;
"21-4336-001";"21,00";"0,00";;
"21-4336-002";"13,00";"0,00";;
"21-4337-001";"24,00";"0,00";;
"21-4337-002";"10,00";"0,00";;
"21-4338-001";"27,00";"0,00";;
"21-4338-002";"27,00";"0,00";;
"21-4339-001";"30,00";"0,00";;
"21-4339-002";"17,00";"0,00";;
"21-4340-001";"25,00";"0,00";;
"21-4340-002";"14,00";"0,00";;
"21-4341-001";"17,00";"0,00";;
"21-4341-002";"30,00";"0,00";;
"21-4342-001";"39,00";"0,00";;
"21-4342-002";"42,00";"0,00";;
"21-4343-001";"26,00";"0,00";;
"21-4343-002";"30,00";"0,00";;
"21-4344-001";"10,00";"0,00";;
"21-4344-002";"31,00";"0,00";;
"21-4345-001";"46,00";"0,00";;
"21-4345-002";"18,00";"0,00";;
"21-4351-001";"5,00";"0,00";"INV-P6-F2-S1 Si.";
"21-4351-002";"16,00";"0,00";;
"21-4352-001";"13,00";"0,00";;
"21-4352-002";"31,00";"0,00";;
"21-4246-004";"26,00";"0,00";"214 | A | 1 Kartons | P4-F2-S3 | --";
"21-4353-001";"3,00";"0,00";;
"21-4353-002";"5,00";"12,00";;
"21-4357-001";"19,00";"0,00";;
"21-4357-002";"9,00";"0,00";;
"21-4358-001";"29,00";"0,00";;
"21-4358-002";"14,00";"0,00";" ";
"1807-004";"12,00";"0,00";;
"21-4363-001";"3,00";"0,00";;
"21-4363-002";"11,00";"0,00";;
"21-4364-001";"19,00";"0,00";;
"21-4364-002";"9,00";"0,00";;
"21-4368-001";"19,00";"0,00";;
"21-4368-002";"3,00";"0,00";;
"21-4370-001";"21,00";"0,00";;
"21-4370-002";"7,00";"0,00";;
"21-4371-001";"9,00";"0,00";;
"21-4371-002";"26,00";"0,00";;
"21-4372-001";"46,00";"0,00";;
"21-4372-002";"71,00";"0,00";"214 | A | 1 Kartons | P4-F2-S3 | --";
"21-4373-001";"13,00";"0,00";;
"21-4373-002";"18,00";"0,00";;
"21-4374-001";"29,00";"0,00";;
"21-4374-002";"22,00";"0,00";;
"21-4375-001";"6,00";"0,00";;
"21-4375-002";"7,00";"0,00";;
"21-4378-001";"15,00";"0,00";;
"21-4378-002";"11,00";"0,00";;
"21-4379-001";"15,00";"0,00";;
"21-4379-002";"15,00";"0,00";;
"21-4380-001";"11,00";"0,00";;
"21-4380-002";"10,00";"0,00";;
"21-4381-001";"19,00";"0,00";;
"21-4381-002";"19,00";"0,00";;
"21-4382-001";"15,00";"0,00";;
"21-4382-002";"8,00";"0,00";;
"21-4383-001";"8,00";"0,00";;
"21-4383-002";"10,00";"0,00";;
"21-4384-001";"6,00";"0,00";;
"21-4384-002";"1,00";"0,00";;
"21-4385-001";"20,00";"0,00";;
"21-4385-002";"17,00";"0,00";;
"21-4376-002";"0,00";"0,00";;
"21-4396-001";"24,00";"0,00";;
"21-4396-002";"271,00";"0,00";;
"21-4396-003";"27,00";"0,00";;
"21-4396-004";"85,00";"0,00";;
"21-4397-001";"217,00";"0,00";;
"21-4397-002";"108,00";"0,00";;
"21-4397-003";"54,00";"0,00";;
"21-4443-001";"29,00";"0,00";;
"21-4443-002";"28,00";"0,00";"212 | C | 1 Kartons | P5-F3-S1 | --";
"21-4448-001";"29,00";"0,00";;
"21-4448-002";"8,00";"0,00";;
"21-4449-001";"3,00";"0,00";;
"21-4449-002";"14,00";"0,00";;
"21-4450-001";"6,00";"0,00";;
"21-4450-002";"10,00";"0,00";;
"21-4451-001";"11,00";"0,00";;
"21-4451-002";"29,00";"0,00";;
"21-4452-001";"25,00";"0,00";;
"21-4452-002";"28,00";"0,00";;
"21-4453-001";"19,00";"0,00";;
"21-4453-002";"9,00";"0,00";;
"21-4454-001";"16,00";"0,00";;
"21-4454-002";"14,00";"0,00";;
"21-4455-001";"19,00";"0,00";;
"21-4455-002";"17,00";"0,00";;
"21-4456-001";"12,00";"0,00";;
"21-4456-002";"6,00";"0,00";;
"21-4457-001";"7,00";"0,00";;
"21-4457-002";"5,00";"0,00";;
"21-4458-001";"7,00";"0,00";;
"21-4458-002";"21,00";"0,00";;
"21-4459-001";"22,00";"0,00";;
"21-4459-002";"37,00";"0,00";;
"21-4460-001";"18,00";"0,00";;
"21-4460-002";"5,00";"0,00";;
"21-4461-001";"18,00";"0,00";;
"21-4461-002";"7,00";"0,00";;
"21-4462-001";"6,00";"0,00";;
"21-4462-002";"14,00";"0,00";;
"21-4464-001";"5,00";"0,00";;
"21-4464-002";"0,00";"0,00";;
"21-4465-001";"1,00";"0,00";;
"21-4465-002";"8,00";"0,00";;
"21-4466-001";"62,00";"0,00";;
"21-4466-002";"41,00";"0,00";;
"21-4467-001";"13,00";"0,00";;
"21-4467-002";"9,00";"0,00";;
"21-4468-001";"11,00";"0,00";;
"21-4468-002";"11,00";"0,00";;
"21-4469-001";"14,00";"0,00";;
"21-4469-002";"10,00";"0,00";;
"21-4470-001";"30,00";"0,00";;
"21-4470-002";"16,00";"0,00";;
"21-4506-001";"26,00";"0,00";"
 ";
"21-4506-002";"22,00";"0,00";"203 | C | 1 Kartons | P6-F2-S1 | --";
"21-4531-001";"20,00";"0,00";;
"21-4531-002";"11,00";"0,00";;
"21-4532-001";"8,00";"0,00";;
"21-4532-002";"7,00";"0,00";;
"21-4533-001";"100,00";"0,00";"159 | A | 1 Kartons | D03-03-03 | --
";
"21-4534-001";"12,00";"0,00";;
"21-4534-002";"11,00";"0,00";;
"21-4535-001";"15,00";"0,00";;
"21-4535-002";"30,00";"0,00";"D1F1

214 | A | 1 Kartons | P4-F2-S3 | --
";
"21-4536-001";"14,00";"0,00";;
"21-4536-002";"11,00";"0,00";;
"21-4540-001";"3,00";"0,00";;
"21-4540-002";"0,00";"0,00";;
"21-4541-001";"15,00";"0,00";;
"21-4541-002";"8,00";"0,00";;
"21-4542-001";"16,00";"0,00";;
"21-4542-002";"11,00";"0,00";;
"21-4543-001";"6,00";"0,00";;
"21-4543-002";"12,00";"0,00";;
"21-4544-001";"2,00";"0,00";;
"21-4544-002";"8,00";"0,00";;
"21-4545-001";"8,00";"0,00";;
"21-4545-002";"19,00";"0,00";;
"21-4546-001";"21,00";"0,00";;
"21-4546-002";"12,00";"0,00";;
"21-4547-001";"21,00";"0,00";;
"21-4547-002";"9,00";"0,00";;
"21-4548-001";"41,00";"0,00";"D1-F1";
"21-4548-002";"12,00";"0,00";;
"21-4549-001";"10,00";"0,00";;
"21-4549-002";"16,00";"0,00";;
"21-4550-001";"5,00";"0,00";;
"21-4550-002";"12,00";"0,00";;
"21-4551-001";"18,00";"0,00";;
"21-4551-002";"9,00";"0,00";;
"21-4552-001";"0,00";"0,00";;
"21-4552-002";"0,00";"0,00";;
"21-4553-001";"0,00";"0,00";;
"21-4553-002";"0,00";"0,00";;
"21-4554-001";"18,00";"0,00";;
"21-4554-002";"9,00";"0,00";;
"21-4555-001";"19,00";"0,00";;
"21-4555-002";"9,00";"0,00";;
"21-4537-001";"25,00";"0,00";;
"21-4537-002";"18,00";"0,00";;
"21-4556-001";"19,00";"0,00";;
"21-4556-002";"0,00";"0,00";;
"21-4557-001";"15,00";"0,00";;
"21-4557-002";"17,00";"0,00";"D1F1


208 | C | 2 Kartons | P6-F2-S3 | --";
"21-4559-001";"4,00";"0,00";;
"21-4559-002";"1,00";"0,00";;
"1743-004";"33,00";"0,00";"
";
"1743-005";"45,00";"0,00";"210 | C | 2 Kartons | P7-F2-S2 | --


";
"21-3379-005";"0,00";"0,00";;
"21-4582-001";"8,00";"0,00";;
"21-4582-002";"27,00";"0,00";"214 | A | 1 Kartons | P6-F4-S1 | --

";
"21-4592-001";"20,00";"0,00";"204 | C | 1 Kartons | P5-F2-S1 | --";
"21-4592-002";"24,00";"0,00";"
";
"21-4593-001";"30,00";"0,00";;
"21-4593-002";"6,00";"0,00";;
"21-4396-006";"14,00";"0,00";;
"21-4396-005";"32,00";"0,00";;
"21-4598-001";"2,00";"0,00";;
"21-4598-002";"6,00";"0,00";;
"21-4598-003";"2,00";"0,00";;
"21-4603-001";"2,00";"0,00";;
"21-4603-002";"7,00";"0,00";;
"21-4603-003";"4,00";"0,00";;
"21-4622-001";"22,00";"0,00";;
"21-4622-002";"19,00";"0,00";;
"21-4271-003";"0,00";"0,00";"PALETTENSTELLPLATZ : P10-F2-S1";
"21-4593-003";"38,00";"0,00";;
"21-3867-004";"0,00";"0,00";;
"21-4376-004";"20,00";"0,00";;
"21-5993-003";"72,00";"0,00";;
"21-4643-001";"10,00";"0,00";;
"21-4643-002";"9,00";"0,00";;
"21-4643-003";"6,00";"0,00";;
"21-4644-001";"16,00";"0,00";"212 | C | 1 Kartons | P5-F3-S1 | --";
"21-4644-002";"12,00";"0,00";"210 | C | 1 Kartons | P7-F2-S2 | --
";
"2857-004";"22,00";"0,00";;
"21-4244-003";"45,00";"0,00";"
";
"21-3587-004";"5,00";"0,00";;
"21-4649-001";"30,00";"0,00";;
"21-4649-002";"30,00";"0,00";"

";
"21-4650-001";"8,00";"0,00";;
"21-4650-002";"7,00";"0,00";;
